Access_Point_Name,BSSID-MAC,SSID-2.4_and_5
wap-0563-132,44:12:44:6a:4c:c2,IllinoisNet_Guest
wap-0563-132,44:12:44:6a:4c:c1,eduroam
wap-0563-133,44:12:44:6b:8c:91,eduroam
wap-0563-133,44:12:44:6b:8c:92,IllinoisNet_Guest
wap-0563-133,44:12:44:6b:8c:90,IllinoisNet
wap-0563-133,44:12:44:6b:8c:72,IllinoisNet_Guest
wap-0563-133,44:12:44:6b:8c:71,eduroam
wap-0563-133,44:12:44:6b:8c:70,IllinoisNet
wap-0563-134,44:12:44:6b:63:52,IllinoisNet_Guest
wap-0563-134,44:12:44:6b:63:51,eduroam
wap-0563-134,44:12:44:6b:63:50,IllinoisNet
wap-0563-134,44:12:44:6b:63:30,IllinoisNet
wap-0563-134,44:12:44:6b:63:32,IllinoisNet_Guest
wap-0563-134,44:12:44:6b:63:31,eduroam
wap-0563-135,44:12:44:6b:db:b0,IllinoisNet
wap-0563-135,44:12:44:6b:db:b2,IllinoisNet_Guest
wap-0563-135,44:12:44:6b:db:b1,eduroam
wap-0563-135,44:12:44:6b:db:92,IllinoisNet_Guest
wap-0563-135,44:12:44:6b:db:90,IllinoisNet
wap-0563-135,44:12:44:6b:db:91,eduroam
wap-0563-136,44:12:44:6a:91:51,eduroam
wap-0563-136,44:12:44:6a:91:52,IllinoisNet_Guest
wap-0563-136,44:12:44:6a:91:50,IllinoisNet
wap-0563-136,44:12:44:6a:91:30,IllinoisNet
wap-0563-136,44:12:44:6a:91:32,IllinoisNet_Guest
wap-0563-136,44:12:44:6a:91:31,eduroam
wap-0563-137,44:12:44:6d:7e:f1,eduroam
wap-0563-137,44:12:44:6d:7e:f0,IllinoisNet
wap-0563-137,44:12:44:6d:7e:f2,IllinoisNet_Guest
wap-0563-137,44:12:44:6d:7e:d2,IllinoisNet_Guest
wap-0563-137,44:12:44:6d:7e:d0,IllinoisNet
wap-0563-137,44:12:44:6d:7e:d1,eduroam
wap-0563-138,44:12:44:6e:e5:71,eduroam
wap-0563-138,44:12:44:6e:e5:72,IllinoisNet_Guest
wap-0563-138,44:12:44:6e:e5:70,IllinoisNet
wap-0563-138,44:12:44:6e:e5:52,IllinoisNet_Guest
wap-0563-138,44:12:44:6e:e5:51,eduroam
wap-0563-138,44:12:44:6e:e5:50,IllinoisNet
wap-0563-139,44:12:44:6c:3a:f2,IllinoisNet_Guest
wap-0563-139,44:12:44:6c:3a:f0,IllinoisNet
wap-0563-139,44:12:44:6c:3a:f1,eduroam
wap-0563-139,44:12:44:6c:3a:d1,eduroam
wap-0563-139,44:12:44:6c:3a:d0,IllinoisNet
wap-0563-139,44:12:44:6c:3a:d2,IllinoisNet_Guest
wap-0563-14,44:12:44:6e:6d:12,IllinoisNet_Guest
wap-0563-14,44:12:44:6e:6d:11,eduroam
wap-0563-14,44:12:44:6e:6d:10,IllinoisNet
wap-0563-14,44:12:44:6e:6c:f2,IllinoisNet_Guest
wap-0563-14,44:12:44:6e:6c:f1,eduroam
wap-0563-14,44:12:44:6e:6c:f0,IllinoisNet
wap-0563-140,44:12:44:6e:6a:40,IllinoisNet
wap-0563-140,44:12:44:6e:6a:41,eduroam
wap-0563-140,44:12:44:6e:6a:42,IllinoisNet_Guest
wap-0563-140,44:12:44:6e:6a:20,IllinoisNet
wap-0563-140,44:12:44:6e:6a:21,eduroam
wap-0563-140,44:12:44:6e:6a:22,IllinoisNet_Guest
wap-0563-141,44:12:44:6b:70:a0,IllinoisNet
wap-0563-141,44:12:44:6b:70:a1,eduroam
wap-0563-141,44:12:44:6b:70:a2,IllinoisNet_Guest
wap-0563-141,44:12:44:6b:70:82,IllinoisNet_Guest
wap-0563-141,44:12:44:6b:70:81,eduroam
wap-0563-141,44:12:44:6b:70:80,IllinoisNet
wap-0563-142,44:12:44:6a:99:32,IllinoisNet_Guest
wap-0563-142,44:12:44:6a:99:31,eduroam
wap-0563-142,44:12:44:6a:99:30,IllinoisNet
wap-0563-142,44:12:44:6a:99:10,IllinoisNet
wap-0563-142,44:12:44:6a:99:12,IllinoisNet_Guest
wap-0563-142,44:12:44:6a:99:11,eduroam
wap-0563-143,44:12:44:6b:d8:20,IllinoisNet
wap-0563-143,44:12:44:6b:d8:22,IllinoisNet_Guest
