Access_Point_Name,BSSID-MAC,SSID-2.4_and_5
wap-0563-97,44:12:44:69:b6:80,IllinoisNet
wap-0563-97,44:12:44:69:b6:62,IllinoisNet_Guest
wap-0563-97,44:12:44:69:b6:61,eduroam
wap-0563-97,44:12:44:69:b6:60,IllinoisNet
wap-0563-98,44:12:44:6e:bd:20,IllinoisNet
wap-0563-98,44:12:44:6e:bd:22,IllinoisNet_Guest
wap-0563-98,44:12:44:6e:bd:21,eduroam
wap-0563-98,44:12:44:6e:bd:02,IllinoisNet_Guest
wap-0563-98,44:12:44:6e:bd:01,eduroam
wap-0563-98,44:12:44:6e:bd:00,IllinoisNet
